date,open,high,low,close,volume
2023-12-31,42139.32,42850,41964.68,42288.06,16397498810
2023-12-30,42064.22,42593.73,41518.19,42141.03,16013925945
2023-12-29,42581.23,43137.1,41300,42063.45,26000021055
2023-12-28,43469.06,43830.34,42265.08,42581.23,22992093014
2023-12-27,42521.21,43709.98,42111.47,43474.4,25260941032
2023-12-26,43589.67,43605,41600.67,42515.53,30026850982
2023-12-25,43025.02,43818.29,42755.35,43589.67,21115795370
2023-12-24,43728.36,43985.67,42614.17,43025.03,18830554085
2023-12-23,44013.65,44033.84,43333.35,43726.35,13507796558
2023-12-22,43875.56,44424.36,43412.82,44013.73,21028503216
2023-12-21,43673.11,44250,43295.78,43875.32,22452766169
2023-12-20,42266.25,44324.86,42184.48,43674.77,27868908174
2023-12-19,42650.01,43461.86,41780,42266.22,23171001281
2023-12-18,41349.59,42754.79,40508.01,42650.01,25224642008
2023-12-17,42235.23,42367.82,41222,41349.59,16678702876
2023-12-16,41934.84,42680.2,41626.66,42237.29,14386729590
2023-12-15,43027.77,43095.71,41640.51,41933.89,19639442462
2023-12-14,42887.39,43442.15,41426.76,43027.77,25578530178
2023-12-13,41477.6,43475,40553.15,42885.54,26797884674
2023-12-12,41229.61,42088.56,40636.51,41477.39,24779520132
2023-12-11,43793.67,43811.81,40150,41229.61,40632672038
2023-12-10,43722.84,44049.51,43562.06,43793.68,13000481418
2023-12-09,44192.86,44384.68,43586.14,43723.25,17368210171
2023-12-08,43281.11,44754.99,43087.17,44192.87,24421116687
2023-12-07,43766.41,44057.23,42846.53,43280.95,27635760671
2023-12-06,44086.33,44290.37,43369,43764.05,29909761586
2023-12-05,41985.53,45000,41384.03,44084.39,36312154535
2023-12-04,39984.81,42410.46,39983.6,41987.24,39856129827
2023-12-03,39467.42,40221.22,39293.02,39984.81,15769696322
2023-12-02,38706.55,39740,38660.03,39478.95,15534035612
2023-12-01,37732.27,39000,37618.25,38703.54,23512784002
2023-11-30,37864.79,38152.18,37500,37732.27,18115982627
2023-11-29,37838.26,38480,37581.93,37863.84,20728546658
2023-11-28,37241.64,38425.96,36873.55,37838.26,21696137014
2023-11-27,37462.01,37578.42,36715.1,37241.63,19002925720
2023-11-26,37806.84,37842.17,37156.72,37462.79,13744796068
2023-11-25,37746.29,37920.27,37615.91,37805.99,9099571165
2023-11-24,37304.04,38454,37257.56,37745.84,22922957823
2023-11-23,37424.31,37653.67,36888,37304.05,14214948217
2023-11-22,35755.33,37875,35633,37424.31,24397247860
2023-11-21,37472.76,37675.77,35744.9,35751.89,25172163756
2023-11-20,37389.06,37784.07,36720,37475.64,20888209068
2023-11-19,36596.14,37546.62,36404.52,37391.19,12915986553
2023-11-18,36631.56,36857.15,36205.89,36594.89,11886022717
2023-11-17,36161.15,36831.99,35869,36630.38,22445028430
2023-11-16,37885.35,37958.75,35511.11,36161.15,26007385366
2023-11-15,35554.1,37987,35358.45,37885.35,27365821679
2023-11-14,36475.68,36756.16,34758.64,35554.09,23857403554
2023-11-13,37086.5,37442.48,36351,36475.67,19057712790
2023-11-12,37139.94,37247,36740.9,37086.03,11545715999
2023-11-11,37324.84,37424.03,36701.5,37139.12,13924272142
2023-11-10,36704.01,37548.8,36334.46,37324.83,22711265155
2023-11-09,35639.13,37999,35555.16,36706.59,37762672382
2023-11-08,35416.63,36113.59,35103.14,35639.13,17295394918
2023-11-07,35059.46,35963,34530.67,35416.28,18834737789
2023-11-06,35035.79,35294.12,34753.66,35059.46,12693436420
2023-11-05,35087.43,35410,34500,35035.42,12412743996
2023-11-04,34730.32,35278.4,34599.85,35087.01,9561294264
2023-11-03,34947.92,34954.6,34100,34731.27,17158456701
2023-11-02,35440.1,35997.8,34311.73,34950,20998158544
2023-11-01,34656.38,35647.19,34079.46,35440.1,22446272005
2023-10-31,34493.51,34732.18,34038.79,34656.4,15758270810
2023-10-30,34534.48,34871,34077.9,34493.79,17184860315
2023-10-29,34085.42,34763,33937.31,34534.48,11160323986
2023-10-28,33905.96,34500,33867.38,34085.42,10160330825
2023-10-27,34153.35,34249.99,33400,33906.09,16418032871
2023-10-26,34504.33,34843.04,33735.86,34154.71,19427195376
2023-10-25,33921.66,35144,33690.91,34506.35,25254318008
2023-10-24,33079.72,35157.23,32851.45,33922.52,44934999645
