date,open,high,low,close,volume
2020-12-31,752.87,755.9,724,737.67,13926846861
2020-12-30,731.79,759,717,752.86,17294574210
2020-12-29,729.65,739.66,688,731.76,18710683199
2020-12-28,684.11,747,680.9,729.7,24222565862
2020-12-27,636.85,714.99,625.01,684.12,26093552821
2020-12-26,626.71,652.7,615.22,636.52,14761125202
2020-12-25,612.25,633.97,604.26,626.75,13520927700
2020-12-24,585.37,614.99,565.61,612.27,14317413703
2020-12-23,636.73,638.75,551.45,585.11,15261413038
2020-12-22,608.07,638.5,587.54,636.82,14745890080
2020-12-21,638.19,648.35,596.9,608.07,14419493621
2020-12-20,658.8,661.4,621.46,638.4,13375855442
2020-12-19,654.66,672.06,646.54,658.96,12830893778
2020-12-18,643.26,664.46,629.59,654.66,15756303983
2020-12-17,637.91,677.05,626.79,643.37,25479532147
2020-12-16,589.08,639.58,581.21,637.98,15817248373
2020-12-15,586.4,597.04,579.15,589.08,9326645840
2020-12-14,590.45,591.71,575.58,586.39,8125837102
2020-12-13,568.64,595.21,563.79,590.75,9070377862
2020-12-12,544.51,574.33,543.22,568.64,8534557897
2020-12-11,559.33,560.62,535.5,544.23,11098819124
2020-12-10,573.26,575.62,547.83,559.45,11672582040
2020-12-09,554.8,578.67,530.32,573.38,15855915840
2020-12-08,591.53,595.47,548.12,554.79,14398919320
2020-12-07,601.97,603.4,584.54,591.47,10720480962
2020-12-06,597.29,607.46,583.31,601.95,11290893016
2020-12-05,567.76,597.88,561.15,597.29,13498010566
2020-12-04,616.46,620.56,566,567.6,16337589997
2020-12-03,597.03,624.57,586.11,616.65,16146190946
2020-12-02,585.87,604.96,575.08,597.35,16883292129
2020-12-01,617,636.53,563.01,586.03,27178964465
2020-11-30,576.9,617,571.11,617,20276867833
2020-11-29,537.97,577.55,531,576.76,15017517758
2020-11-28,519.04,548.83,505.01,538.11,14770243833
2020-11-27,520.35,531.41,493.51,519.07,16831105703
2020-11-26,569.19,577,480.08,520.34,31104004592
2020-11-25,605.45,606.49,554,568.79,20088492893
2020-11-24,609.26,623.22,587.25,605.45,23281758100
2020-11-23,560.78,611.43,550,609.26,27272302872
2020-11-22,553.06,581.8,511.16,560.82,21967049601
2020-11-21,510.6,554.28,502.82,553.07,20757099184
2020-11-20,471.92,514.73,471.07,510.43,18629943296
2020-11-19,479,480.99,465.18,471.92,12473929218
2020-11-18,482.75,495.68,456.5,478.96,17880199224
2020-11-17,460.87,485,460.05,482.68,14593057877
2020-11-16,448.6,466.21,445.91,460.85,11441239444
2020-11-15,461.21,463.24,439.77,448.58,10308617165
2020-11-14,477.15,478,452.17,461.16,10312037942
2020-11-13,462.91,478.31,457.64,477.14,13191505725
2020-11-12,463.75,470.56,452.07,462.98,12877327234
2020-11-11,450.89,476.8,449.95,463.79,14075403511
2020-11-10,444.84,455.51,439.36,450.89,12090381666
2020-11-09,454.61,460,433.83,444.81,13704320630
2020-11-08,435.59,460.57,432.65,454.61,11292383601
2020-11-07,456.69,468.98,423,435.73,18873289788
2020-11-06,417.29,458.92,415.57,456.65,16738305610
2020-11-05,403.19,421.25,396.43,417.17,15440711038
2020-11-04,388.33,409,376.64,403.18,15126077675
2020-11-03,383.33,390.35,370.5,388.32,12588494762
2020-11-02,396.91,404.57,378.36,383.33,13997574252
2020-11-01,386.72,397.65,385.09,396.91,10475146018
2020-10-31,382.77,394,380.76,386.74,11276963426
2020-10-30,387.49,392.16,373.4,382.77,13688056970
2020-10-29,388.59,394,380.75,387.6,12920477749
2020-10-28,404.56,409.52,380.5,388.63,15276441134
2020-10-27,393.07,411.77,390.35,404.55,13940434102
2020-10-26,406.32,411.47,382.21,393.12,15155684229
2020-10-25,412.58,417.86,402.92,406.46,10890207469
2020-10-24,409.55,417,407.4,412.58,12201739194
2020-10-23,414.64,419.48,401.51,409.52,14256222052
2020-10-22,391.36,421.47,391.33,414.7,15772846485
2020-10-21,368.81,402.62,368.06,391.53,20241324322
2020-10-20,379.53,380.9,364.04,368.81,13741586582
2020-10-19,378.56,384.69,372.89,379.36,12811242092
2020-10-18,368.48,378.69,367.31,378.58,11047103109
2020-10-17,365.57,370.57,363.56,368.48,10951115359
2020-10-16,377.89,380,361.38,365.57,14670784817
2020-10-15,379.01,381.99,370.06,377.94,14964182545
2020-10-14,381.37,387.63,373.29,378.97,13918846567
2020-10-13,386.77,387.88,374.29,381.37,14226744838
2020-10-12,374.37,395.18,365.77,386.74,15867455424
2020-10-11,370.73,377.49,369.02,374.38,12584512533
2020-10-10,365.35,380.81,365.02,370.75,13618484324
2020-10-09,351.17,368.7,347.15,365.36,13043501763
2020-10-08,341.7,353.34,334.29,351.25,13461017711
2020-10-07,340.8,342.83,332.87,341.68,11929918060
2020-10-06,353.82,355.33,336.73,340.78,12830796112
2020-10-05,352.42,356.12,348.69,353.73,11809507622
2020-10-04,346.18,354.35,344.08,352.48,10696959020
2020-10-03,345.74,351.2,343.71,346.18,10060167889
2020-10-02,352.84,354.25,334.19,345.7,14215390463
2020-10-01,360.01,370.25,345.01,352.9,14679481911
2020-09-30,359.93,361.51,351.38,359.89,11818610610
2020-09-29,353.68,360.59,350.19,359.9,11600013236
2020-09-28,357.53,368.52,351.88,353.91,14258455166
2020-09-27,354.01,362.86,347.05,357.55,13598126926
2020-09-26,352.12,356.5,346.03,354.13,13049148579
2020-09-25,349.14,358.12,337.63,352.11,14381086966
2020-09-24,320.65,353.14,316.65,349.14,15714304470
2020-09-23,344.25,344.64,313,320.63,12899346599
2020-09-22,340.36,346.84,335.57,344.26,12732578043
2020-09-21,371.03,376.76,331,340.11,17398267133
2020-09-20,385.25,385.31,364.89,370.69,12292195784
2020-09-19,384.6,388.43,377.2,385.23,11049507684
2020-09-18,389.52,392.69,375.19,384.64,14108357740
2020-09-17,365.22,394.55,363.4,389.45,19899531080
2020-09-16,364.05,373.37,355,365.23,16107612177
2020-09-15,377.27,382.76,362.5,364.2,16140584321
