event_type,scheduled_at_utc,importance,source,source_series_names
NFP,2016-06-03 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (May); Nonfarm Payrolls Private (May)
FOMC_DECISION,2016-06-15 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
CPI,2016-06-16 12:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (May); Core Inflation Rate YoY (May); Inflation Rate MoM (May); Inflation Rate YoY (May)
PCE,2016-06-29 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (May); Core PCE Price Index YoY (May); PCE Price Index MoM (May); PCE Price Index YoY (May)
FOMC_MINUTES,2016-07-06 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
NFP,2016-07-08 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Jun); Nonfarm Payrolls Private (Jun)
CPI,2016-07-15 12:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (Jun); Core Inflation Rate YoY (Jun); Inflation Rate MoM (Jun); Inflation Rate YoY (Jun)
FOMC_DECISION,2016-07-27 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2016-08-02 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Jun); Core PCE Price Index YoY (Jun); PCE Price Index MoM (Jun); PCE Price Index YoY (Jun)
NFP,2016-08-05 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Jul); Nonfarm Payrolls Private (Jul)
CPI,2016-08-16 12:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (Jul); Core Inflation Rate YoY (Jul); Inflation Rate MoM (Jul); Inflation Rate YoY (Jul)
FOMC_MINUTES,2016-08-17 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2016-08-29 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Jul); Core PCE Price Index YoY (Jul); PCE Price Index MoM (Jul); PCE Price Index YoY (Jul)
NFP,2016-09-02 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Aug); Nonfarm Payrolls Private (Aug)
CPI,2016-09-16 12:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (Aug); Core Inflation Rate YoY (Aug); Inflation Rate MoM (Aug); Inflation Rate YoY (Aug)
FOMC_DECISION,2016-09-21 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2016-09-30 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Aug); Core PCE Price Index YoY (Aug); PCE Price Index MoM (Aug); PCE Price Index YoY (Aug)
NFP,2016-10-07 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Sep); Nonfarm Payrolls Private (Sep)
FOMC_MINUTES,2016-10-12 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
CPI,2016-10-18 12:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (Sep); Core Inflation Rate YoY (Sep); Inflation Rate MoM (Sep); Inflation Rate YoY (Sep)
PCE,2016-10-31 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Sep); Core PCE Price Index YoY (Sep); PCE Price Index MoM (Sep); PCE Price Index YoY (Sep)
FOMC_DECISION,2016-11-02 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
NFP,2016-11-04 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Oct); Nonfarm Payrolls Private (Oct)
CPI,2016-11-17 13:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (Oct); Core Inflation Rate YoY (Oct); Inflation Rate MoM (Oct); Inflation Rate YoY (Oct)
FOMC_MINUTES,2016-11-23 19:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2016-11-30 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Oct); Core PCE Price Index YoY (Oct); PCE Price Index MoM (Oct); PCE Price Index YoY (Oct)
NFP,2016-12-02 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Nov); Nonfarm Payrolls Private (Nov)
FOMC_DECISION,2016-12-14 19:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
CPI,2016-12-15 13:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (Nov); Core Inflation Rate YoY (Nov); Inflation Rate MoM (Nov); Inflation Rate YoY (Nov)
PCE,2016-12-22 15:00:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Nov); Core PCE Price Index YoY (Nov); PCE Price Index MoM (Nov); PCE Price Index YoY (Nov)
FOMC_MINUTES,2017-01-04 19:00:00,medium,fmp_economics_calendar,FOMC Minutes
NFP,2017-01-06 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Dec); Nonfarm Payrolls Private (Dec)
CPI,2017-01-18 13:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (Dec); Core Inflation Rate YoY (Dec); Inflation Rate MoM (Dec); Inflation Rate YoY (Dec)
PCE,2017-01-30 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Dec); Core PCE Price Index YoY (Dec); PCE Price Index MoM (Dec); PCE Price Index YoY (Dec)
FOMC_DECISION,2017-02-01 19:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
NFP,2017-02-03 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Jan); Nonfarm Payrolls Private (Jan)
CPI,2017-02-15 13:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (Jan); Core Inflation Rate YoY (Jan); Inflation Rate MoM (Jan); Inflation Rate YoY (Jan)
FOMC_MINUTES,2017-02-22 19:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2017-03-01 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Jan); Core PCE Price Index YoY (Jan); PCE Price Index MoM (Jan); PCE Price Index YoY (Jan)
NFP,2017-03-10 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Feb); Nonfarm Payrolls Private (Feb)
CPI,2017-03-15 12:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (Feb); Core Inflation Rate YoY (Feb); Inflation Rate MoM (Feb); Inflation Rate YoY (Feb)
FOMC_DECISION,2017-03-15 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2017-03-31 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Feb); Core PCE Price Index YoY (Feb); PCE Price Index MoM (Feb); PCE Price Index YoY (Feb)
FOMC_MINUTES,2017-04-05 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
NFP,2017-04-07 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Mar); Nonfarm Payrolls Private (Mar)
CPI,2017-04-14 12:30:00,high,fmp_economics_calendar,Core Inflation Rate MoM (Mar); Core Inflation Rate YoY (Mar); Inflation Rate MoM (Mar); Inflation Rate YoY (Mar)
